violation,item,country,shipper,station,importers,cause,cargo,remarks,article,manufacturers,year,month,day
1,19,21.0,326.0,42.0,396.0,0.0,8.0,8.0,13.0,11.0,4,07,22
1,19,142.0,425.0,9.0,286.0,0.0,1.0,1.0,13.0,11.0,4,07,22
1,19,57.0,0.0,27.0,295.0,0.0,8.0,8.0,13.0,1304.0,4,07,31
0,19,21.0,0.0,29.0,176.0,0.0,8.0,8.0,13.0,1305.0,4,07,31
6,19,18.0,349.0,37.0,344.0,0.0,8.0,8.0,25.0,11.0,4,07,31
3,12,132.0,69.0,37.0,172.0,0.0,8.0,8.0,27.0,11.0,4,07,31
1,18,57.0,0.0,23.0,527.0,0.0,8.0,8.0,13.0,436.0,4,07,31
1,19,21.0,401.0,23.0,300.0,0.0,8.0,8.0,13.0,11.0,4,07,31
6,7,132.0,287.0,42.0,220.0,0.0,8.0,8.0,25.0,11.0,4,07,31
1,15,21.0,0.0,17.0,246.0,0.0,8.0,8.0,13.0,884.0,4,07,31
3,6,132.0,71.0,19.0,243.0,0.0,8.0,8.0,27.0,11.0,4,07,31
